product_id,quantity_sold,sale_date,total_amount
2,2,2024-01-02,200
3,3,2024-01-03,300
4,4,2024-01-04,400
5,5,2024-01-05,500
6,1,2024-01-06,100
7,2,2024-01-07,200
8,3,2024-01-08,300
9,4,2024-01-09,400
10,5,2024-01-10,500
11,1,2024-01-11,100
12,2,2024-01-12,200
13,3,2024-01-13,300
14,4,2024-01-14,400
15,5,2024-01-15,500
16,1,2024-01-16,100
17,2,2024-01-17,200
,3,2024-01-18,300
19,4,2024-01-19,400
20,5,2024-01-20,500
21,1,2024-01-21,100
22,2,2024-01-22,200
23,3,2024-01-23,300
24,,2024-01-24,100
25,5,2024-01-25,500
26,1,2024-01-26,100
27,2,2024-01-27,200
28,3,2024-01-28,300
29,4,2024-01-29,400
30,5,2024-01-30,
31,1,2024-01-31,100
32,2,2024-02-01,200
33,3,2024-02-02,300
34,4,2024-02-03,400
,5,2024-02-04,500
36,1,2024-02-05,100
37,2,2024-02-06,200
38,3,2024-02-07,300
39,4,2024-02-08,400
40,5,2024-02-09,500
41,1,2024-02-10,100
42,2,2024-02-11,200
43,3,2024-02-12,300
44,4,2024-02-13,400
45,5,2024-02-14,500
46,1,2024-02-15,100
47,,2024-02-16,100
48,3,2024-02-17,300
49,4,2024-02-18,400
50,5,2024-02-19,500
51,1,2024-02-20,100
,2,2024-02-21,200
53,3,2024-02-22,300
54,4,2024-02-23,400
55,5,2024-02-24,500
56,1,2024-02-25,100
57,2,2024-02-26,200
58,3,2024-02-27,300
59,4,2024-02-28,
60,5,2024-02-29,500
61,1,2024-03-01,100
62,2,2024-03-02,200
63,3,2024-03-03,300
64,4,2024-03-04,400
65,5,2024-03-05,500
66,1,2024-03-06,100
67,2,2024-03-07,200
68,3,2024-03-08,300
,4,2024-03-09,400
70,,2024-03-10,100
71,1,2024-03-11,100
72,2,2024-03-12,200
73,3,2024-03-13,300
74,4,2024-03-14,400
75,5,2024-03-15,500
76,1,2024-03-16,100
77,2,2024-03-17,200
78,3,2024-03-18,300
79,4,2024-03-19,400
80,5,2024-03-20,500
81,1,2024-03-21,100
82,2,2024-03-22,200
83,3,2024-03-23,300
84,4,2024-03-24,400
85,5,2024-03-25,500
,1,2024-03-26,100
87,2,2024-03-27,200
88,3,2024-03-28,
89,4,2024-03-29,400
90,5,2024-03-30,500
91,1,2024-03-31,100
92,2,2024-04-01,200
93,,2024-04-02,100
94,4,2024-04-03,400
95,5,2024-04-04,500
96,1,2024-04-05,100
97,2,2024-04-06,200
98,3,2024-04-07,300
99,4,2024-04-08,400
100,5,2024-04-09,500
101,1,2024-04-10,100
102,2,2024-04-11,200
,3,2024-04-12,300
104,4,2024-04-13,400
105,5,2024-04-14,500
106,1,2024-04-15,100
107,2,2024-04-16,200
108,3,2024-04-17,300
109,4,2024-04-18,400
110,5,2024-04-19,500
111,1,2024-04-20,100
112,2,2024-04-21,200
113,3,2024-04-22,300
114,4,2024-04-23,400
115,5,2024-04-24,500
116,,2024-04-25,100
117,2,2024-04-26,
118,3,2024-04-27,300
119,4,2024-04-28,400
,5,2024-04-29,500
121,1,2024-04-30,100
122,2,2024-05-01,200
123,3,2024-05-02,300
124,4,2024-05-03,400
125,5,2024-05-04,500
126,1,2024-05-05,100
127,2,2024-05-06,200
128,3,2024-05-07,300
129,4,2024-05-08,400
130,5,2024-05-09,500
131,1,2024-05-10,100
132,2,2024-05-11,200
133,3,2024-05-12,300
134,4,2024-05-13,400
135,5,2024-05-14,500
136,1,2024-05-15,100
,2,2024-05-16,200
138,3,2024-05-17,300
139,,2024-05-18,100
140,5,2024-05-19,500
141,1,2024-05-20,100
142,2,2024-05-21,200
143,3,2024-05-22,300
144,4,2024-05-23,400
145,5,2024-05-24,500
146,1,2024-05-25,
147,2,2024-05-26,200
148,3,2024-05-27,300
149,4,2024-05-28,400
150,5,2024-05-29,500
151,1,2024-05-30,100
152,2,2024-05-31,200
153,3,2024-06-01,300
,4,2024-06-02,400
155,5,2024-06-03,500
156,1,2024-06-04,100
157,2,2024-06-05,200
158,3,2024-06-06,300
159,4,2024-06-07,400
160,5,2024-06-08,500
161,1,2024-06-09,100
162,,2024-06-10,100
163,3,2024-06-11,300
164,4,2024-06-12,400
165,5,2024-06-13,500
166,1,2024-06-14,100
167,2,2024-06-15,200
168,3,2024-06-16,300
169,4,2024-06-17,400
170,5,2024-06-18,500
,1,2024-06-19,100
172,2,2024-06-20,200
173,3,2024-06-21,300
174,4,2024-06-22,400
175,5,2024-06-23,
176,1,2024-06-24,100
177,2,2024-06-25,200
178,3,2024-06-26,300
179,4,2024-06-27,400
180,5,2024-06-28,500
181,1,2024-06-29,100
182,2,2024-06-30,200
183,3,2024-07-01,300
184,4,2024-07-02,400
185,,2024-07-03,100
186,1,2024-07-04,100
187,2,2024-07-05,200
,3,2024-07-06,300
189,4,2024-07-07,400
190,5,2024-07-08,500
191,1,2024-07-09,100
192,2,2024-07-10,200
193,3,2024-07-11,300
194,4,2024-07-12,400
195,5,2024-07-13,500
196,1,2024-07-14,100
197,2,2024-07-15,200
198,3,2024-07-16,300
199,4,2024-07-17,400
200,5,2024-07-18,500
201,1,2024-07-19,100
202,2,2024-07-20,200
203,3,2024-07-21,300
204,4,2024-07-22,
,5,2024-07-23,500
206,1,2024-07-24,100
207,2,2024-07-25,200
208,,2024-07-26,100
209,4,2024-07-27,400
210,5,2024-07-28,500
211,1,2024-07-29,100
212,2,2024-07-30,200
